,start_tracking_at_element,q0,mass0,p0c,gamma0,beta0,s,x,y,px,py,zeta,chi,charge_ratio,weight,particle_id,at_element,at_turn,state,parent_particle_id,_rng_s1,_rng_s2,_rng_s3,_rng_s4,delta,ptau,rvv,rpp
35,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0003069662224462184,0.00018880718359471794,-1.0156867635032326e-05,2.2584575226795113e-06,7.090824332608185e-06,1.0,1.0,0.0,35,0,0,1,35,0,0,0,0,0.0002700004998381633,0.00027000049741326217,1.000000000004849,0.999730072380754
36,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0002677500979034146,0.0003368521566790807,-9.419050472436674e-06,4.0388552625715636e-06,6.459082248602179e-06,1.0,1.0,0.0,36,0,0,1,36,0,0,0,0,0.00027000051547920734,0.00027000051305435936,1.000000000004849,0.9997300723651213
37,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00020146095309238075,0.0004661615701439032,-8.172304229920885e-06,5.593823950549333e-06,5.3877969844834334e-06,1.0,1.0,0.0,37,0,0,1,37,0,0,0,0,0.0002700005057045818,0.0002700005032798404,1.000000000004849,0.9997300723748908
38,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0001126162836839975,0.0005679232011554673,-6.5015926035668345e-06,6.817395040234389e-06,3.949974860619035e-06,1.0,1.0,0.0,38,0,0,1,38,0,0,0,0,0.0002700004711806425,0.00027000046875582274,1.000000000004849,0.999730072409396
39,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,7.27070707568783e-06,0.0006352021627293815,-4.520771829729037e-06,7.626184183911529e-06,2.2436010786369335e-06,1.0,1.0,0.0,39,0,0,1,39,0,0,0,0,0.00027000041425995214,0.0002700004118350611,1.000000000004849,0.999730072466286
40,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0003131138577719603,0.00019059420043533644,-1.0272441950375897e-05,2.2799718732796464e-06,7.19056435553513e-06,1.0,1.0,0.0,40,0,0,1,40,0,0,0,0,0.00027000050487058225,0.00027000050244571785,1.000000000004849,0.9997300723757242
41,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0002733453934468635,0.0003407243139856762,-9.524232996757771e-06,4.085445637677221e-06,6.549924495698054e-06,1.0,1.0,0.0,41,0,0,1,41,0,0,0,0,0.0002700005207318945,0.00027000051830711213,1.000000000004849,0.9997300723598715
42,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00020612259870891368,0.00047185498679507367,-8.259926948009368e-06,5.662315293091297e-06,5.463550706732565e-06,1.0,1.0,0.0,42,0,0,1,42,0,0,0,0,0.0002700005108196013,0.00027000050839492393,1.000000000004849,0.9997300723697784
43,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00011602659592858133,0.0005750498802152513,-6.565684171988356e-06,6.90311977840572e-06,4.005477567039089e-06,1.0,1.0,0.0,43,0,0,1,43,0,0,0,0,0.0002700004758096064,0.0002700004733846525,1.000000000004849,0.9997300724047695
44,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,9.19727880466164e-06,0.0006432764327972488,-4.556964514011999e-06,7.723300318472678e-06,2.275070351507945e-06,1.0,1.0,0.0,44,0,0,1,44,0,0,0,0,0.00027000041808711295,0.00027000041566219006,1.000000000004849,0.9997300724624609
45,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0003192614930977022,0.000192381217275955,-1.0388016265719468e-05,2.301486223879782e-06,7.290304378462073e-06,1.0,1.0,0.0,45,0,0,1,45,0,0,0,0,0.0002700005099030012,0.00027000050747817353,1.000000000004849,0.9997300723706946
46,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0002789406889903124,0.00034459647129227167,-9.62941552107887e-06,4.132036012782878e-06,6.640766742793927e-06,1.0,1.0,0.0,46,0,0,1,46,0,0,0,0,0.0002700005259845817,0.00027000052355986495,1.000000000004849,0.9997300723546216
47,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0002107842443254466,0.00047754840344624413,-8.347549666097848e-06,5.73080663563326e-06,5.539304428981696e-06,1.0,1.0,0.0,47,0,0,1,47,0,0,0,0,0.00027000051593484287,0.00027000051351000747,1.000000000004849,0.9997300723646659
48,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00011943690817316517,0.0005821765592750354,-6.6297757404098785e-06,6.9888445165770505e-06,4.060980273459145e-06,1.0,1.0,0.0,48,0,0,1,48,0,0,0,0,0.00027000048043834823,0.00027000047801348226,1.000000000004849,0.9997300724001433
49,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,1.1123850533635477e-05,0.0006513507028651161,-4.59315719829496e-06,7.820416453033828e-06,2.306539624378956e-06,1.0,1.0,0.0,49,0,0,1,49,0,0,0,0,0.00027000042191427376,0.0002700004194893189,1.000000000004849,0.9997300724586358
